ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,3,2024-01-14,"[50,60)",COMUNA 7,2,,,
2024,3,2024-01-14,"[60,70)",COMUNA 7,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 7,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 8,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 8,4,,,
2024,3,2024-01-14,"[20,30)",COMUNA 8,3,,,
2024,3,2024-01-14,"[30,40)",COMUNA 8,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 8,2,,,
2024,3,2024-01-14,"[50,60)",COMUNA 8,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 8,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 8,0,,,
2024,3,2024-01-14,"[80,90)",COMUNA 8,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 9,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 9,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 9,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 9,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 9,2,,,
2024,3,2024-01-14,"[50,60)",COMUNA 9,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 9,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 9,0,,,
2024,3,2024-01-14,"[80,90)",COMUNA 9,0,,,
2024,3,2024-01-14,"[0,10)",SIN DATOS,2,,,
2024,3,2024-01-14,"[10,20)",SIN DATOS,1,,,
2024,3,2024-01-14,"[20,30)",SIN DATOS,2,,,
2024,3,2024-01-14,"[30,40)",SIN DATOS,5,,,
2024,3,2024-01-14,"[40,50)",SIN DATOS,4,,,
2024,3,2024-01-14,"[50,60)",SIN DATOS,3,,,
2024,3,2024-01-14,"[60,70)",SIN DATOS,0,,,
2024,3,2024-01-14,"[70,80)",SIN DATOS,1,,,
2024,3,2024-01-14,"[80,90)",SIN DATOS,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 1,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 1,4,,,
2024,4,2024-01-21,"[20,30)",COMUNA 1,4,,,
2024,4,2024-01-21,"[30,40)",COMUNA 1,4,,,
2024,4,2024-01-21,"[40,50)",COMUNA 1,0,,,
2024,4,2024-01-21,"[50,60)",COMUNA 1,2,,,
2024,4,2024-01-21,"[60,70)",COMUNA 1,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 1,0,,,
2024,4,2024-01-21,"[80,90)",COMUNA 1,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 10,0,,,
2024,4,2024-01-21,"[10,20)",COMUNA 10,0,,,
2024,4,2024-01-21,"[20,30)",COMUNA 10,1,,,
2024,4,2024-01-21,"[30,40)",COMUNA 10,1,,,
2024,4,2024-01-21,"[40,50)",COMUNA 10,2,,,
2024,4,2024-01-21,"[50,60)",COMUNA 10,0,,,
2024,4,2024-01-21,"[70,80)",COMUNA 10,0,,,
2024,4,2024-01-21,"[80,90)",COMUNA 10,0,,,
2024,4,2024-01-21,"[90,100)",COMUNA 10,0,,,
2024,4,2024-01-21,"[0,10)",COMUNA 11,1,,,
2024,4,2024-01-21,"[10,20)",COMUNA 11,1,,,
2024,4,2024-01-21,"[20,30)",COMUNA 11,2,,,
2024,4,2024-01-21,"[30,40)",COMUNA 11,1,,,
2024,4,2024-01-21,"[40,50)",COMUNA 11,2,,,
2024,4,2024-01-21,"[50,60)",COMUNA 11,0,,,
2024,4,2024-01-21,"[60,70)",COMUNA 11,3,,,
2024,4,2024-01-21,"[70,80)",COMUNA 11,2,,,
2024,4,2024-01-21,"[80,90)",COMUNA 11,0,,,
